legacy_id,external_code,title,rfi_type,prefix,cluster_id,position_type,variant,drug_type,old_thousand
N419,T1610,技术童话,earth,T,16,1,0,预警药,5031
N420,T1650,可信链断裂,earth,T,16,5,0,预警药,5032
N421,T1710,权限借位,earth,T,17,1,0,预警药,5033
N422,T1750,回滚缺席,earth,T,17,5,0,预警药,5034
N423,T1810,监控指标错位,earth,T,18,1,0,预警药,5035
N424,T1850,旁路成瘾,earth,T,18,5,0,预警药,5036
N425,T1910,可用性祭坛,earth,T,19,1,0,预警药,5037
N426,T1950,升级惰性,earth,T,19,5,0,预警药,5038
N427,T2010,故障归人,earth,T,20,1,0,预警药,5039
N428,T2050,脆弱繁荣,earth,T,20,5,0,预警药,5040
N459,T2110,明天主义,earth,T,21,1,0,预警药,5041
N460,T2150,隐性抑郁组织版,earth,T,21,5,0,预警药,5042
N461,T2210,信念折旧,earth,T,22,1,0,预警药,5043
N462,T2250,代偿性兴奋,earth,T,22,5,0,预警药,5044
N463,T2310,伪恢复型娱乐,earth,T,23,1,0,预警药,5045
N464,T2350,内核断电,earth,T,23,5,0,预警药,5046
N465,T2410,位置空心化,earth,T,24,1,0,预警药,5047
N466,T2450,努力感通胀,earth,T,24,5,0,预警药,5048
N467,T2510,意义幻影,earth,T,25,1,0,预警药,5049
N468,T2550,继续主义,earth,T,25,5,0,预警药,5050
N469,T2610,巴别塔,earth,T,26,1,0,预警药,5051
N470,T2650,罗马衰退,earth,T,26,5,0,预警药,5052
N471,T2710,权力真空,earth,T,27,1,0,预警药,5053
N472,T2750,继承者困境,earth,T,27,5,0,预警药,5054
N473,T2810,边疆失控,earth,T,28,1,0,预警药,5055
N474,T2850,宫廷政治,earth,T,28,5,0,预警药,5056
N475,T2910,远方税,earth,T,29,1,0,预警药,5057
N476,T2950,王朝周期,earth,T,29,5,0,预警药,5058
N477,T3010,新旧秩序过渡区,earth,T,30,1,0,预警药,5059
N478,T3050,清算叙事,earth,T,30,5,0,预警药,5060
N479,T3110,中间人消失,earth,T,31,1,0,预警药,5061
N480,T3150,盟友转债,earth,T,31,5,0,预警药,5062
N481,T3210,边界帝国,earth,T,32,1,0,预警药,5063
N482,T3250,礼制外壳,earth,T,32,5,0,预警药,5064
N483,T3310,革命后疲劳,earth,T,33,1,0,预警药,5065
N484,T3350,暗道政治,earth,T,33,5,0,预警药,5066
N485,T3410,边疆屯兵逻辑,earth,T,34,1,0,预警药,5067
N486,T3450,贡赋体系,earth,T,34,5,0,预警药,5068
N487,T3510,忠诚竞赛,earth,T,35,1,0,预警药,5069
N488,T3550,祭祀式决策,earth,T,35,5,0,预警药,5070
N489,T3610,天命叙事,earth,T,36,1,0,预警药,5071
N490,T3650,城墙心态,earth,T,36,5,0,预警药,5072
N491,T3710,官样文章,earth,T,37,1,0,预警药,5073
N492,T3750,旗帜争夺,earth,T,37,5,0,预警药,5074
N493,T3810,编年史修正,earth,T,38,1,0,预警药,5075
N494,T3850,中央幻觉,earth,T,38,5,0,预警药,5076
N495,T3910,地方现实,earth,T,39,1,0,预警药,5077
N496,T3950,告密结构,earth,T,39,5,0,预警药,5078
N497,T4010,政令层层变形,earth,T,40,1,0,预警药,5079
N498,T4050,分封失灵,earth,T,40,5,0,预警药,5080
N499,T4110,军功式晋升,earth,T,41,1,0,预警药,5081
S061,T4110,中文房间,earth,T,41,1,0,破雾药,5091
N500,T4150,旧功牌坊,earth,T,41,5,0,预警药,5082
S062,T4150,图灵测试,earth,T,41,5,0,固界药,5092
N501,T4210,名分政治,earth,T,42,1,0,预警药,5083
S063,T4210,别针制造机,earth,T,42,1,0,止损药,5093
N502,T4250,弃子逻辑,earth,T,42,5,0,预警药,5084
S064,T4250,罗科的蛇怪,earth,T,42,5,0,辨权药,5094
N503,T4310,边缘归罪,earth,T,43,1,0,预警药,5085
S065,T4310,技术奇点,earth,T,43,1,0,预警药,5095
N504,T4350,风向朝贡,earth,T,43,5,0,预警药,5086
S066,T4350,意识上传,earth,T,43,5,0,预警药,5096
N505,T4410,旧秩序幽灵,earth,T,44,1,0,预警药,5087
S067,T4410,玛丽的房间,earth,T,44,1,0,破雾药,5097
N506,T4450,文明倦怠,earth,T,44,5,0,预警药,5088
S068,T4450,对齐难题,earth,T,44,5,0,破局药,5098
N507,T4510,伟大工程病,earth,T,45,1,0,预警药,5089
S069,T4510,灰雾灾难,earth,T,45,1,0,预警药,5099
N508,T4550,末期豪赌,earth,T,45,5,0,预警药,5090
S070,T4550,模拟假说,earth,T,45,5,0,预警药,5100
S071,T4610,信息危害,earth,T,46,1,0,去噪药,5101
S072,T4650,数字黑暗时代,earth,T,46,5,0,预警药,5102
S088,T4710,眼镜蛇效应,earth,T,47,1,0,止损药,5103
S100,T4750,墨菲定律,earth,T,47,5,0,预警药,5104
